,level,exp,rocket,glider,friends,likes,GameTime,NumberOfAnnotatedGraffiti,totalAnnotatedGraffiti,Graffiti_avgt,NumberOfDialoguesActivated,totalAnnotatedDialogues,Dialogue_avgt,Age,Gender,Education,General engagement
228,0.0,0.88,0.0,0.0,0.0,-0.19081272084805653,1.6487427168143036,0.0,0.2,1.027597656184754,0.28169014084507044,-0.2,0.3954642597517461,12,0.0,0.0,4.0
229,0.0,0.752,0.0,0.0,1.5,0.7561837455830389,1.809533113881896,0.2857142857142857,0.4,-0.16687753987499443,2.084507042253521,0.2,-0.13777846762978743,12,0.0,0.0,4.0
230,0.0,0.24,0.0,0.0,0.0,-0.4169611307420495,0.7343216199019544,0.2857142857142857,0.2,1.1397113662008884,0.6197183098591549,-0.1,0.3172418140904739,12,0.0,0.0,3.0
231,1.0,0.16,0.0,0.0,0.5,0.4169611307420495,0.844437137759212,0.7142857142857143,0.8,0.15294623470888533,1.0140845070422535,0.5,0.189006428288363,12,1.0,0.0,4.0
232,1.0,-0.288,0.0,0.0,1.5,1.1802120141342756,1.7949023621639375,-0.14285714285714285,0.0,-0.09768476464804246,-0.16901408450704225,0.8,0.5577797272134016,12,2.0,0.0,3.0
233,0.0,0.752,0.0,0.0,0.0,-0.02120141342756184,0.11718960584999821,-0.42857142857142855,-0.2,0.45744629495785905,-0.5633802816901409,0.0,0.5607203910741364,13,2.0,0.0,1.0
234,0.0,0.112,0.0,0.0,0.0,-0.5865724381625441,0.511059654403463,1.2857142857142858,0.4,0.07667415760929158,-0.3380281690140845,-0.6,-0.6339257264658479,12,2.0,0.0,4.0
235,1.0,-0.224,0.0,0.0,0.0,0.14840989399293286,0.5927073361915492,-0.2857142857142857,-0.2,5.089942585822921,1.2394366197183098,0.9,0.45049202923396525,12,2.0,0.0,4.0
236,0.0,-0.272,0.0,0.0,0.5,-0.2332155477031802,0.6481064399731499,0.14285714285714285,0.0,1.501113242698927,0.7323943661971831,-0.6,-0.6339257264658479,12,0.0,0.0,4.0
237,0.0,0.944,0.0,0.0,0.0,-0.36042402826855124,1.4050673551020245,0.2857142857142857,0.6,3.1937235988335626,-0.16901408450704225,-0.1,0.3605858532621025,12,1.0,0.0,3.0
238,0.0,0.24,0.0,0.0,1.0,0.12014134275618374,0.7054444061318994,0.42857142857142855,0.6,-0.9523407111917871,0.676056338028169,-0.6,-0.6339257264658479,12,2.0,0.0,4.0
239,2.0,-0.176,0.0,0.0,0.0,0.8268551236749117,0.8505978737004859,-0.42857142857142855,-0.2,0.047461052140485856,0.39436619718309857,2.2,0.9827711906386827,12,0.0,0.0,2.0
240,0.0,0.112,0.0,0.0,0.5,-0.12014134275618374,-0.15332242692501047,0.0,0.2,2.5271540617342643,-0.7323943661971831,-0.4,0.07067186151671297,12,0.0,0.0,3.0
